text,target,label,start,end
How can someone so incompetent like Maxine Waters stay in office for over 20 years ? #LAFail,Maxine Waters,negative,6,8
Steve Maviglio/ California Majority Report : Another Meg Whitman Pinocchio Moment - http://bit.ly/duCr5G,Steve Maviglio/,neutral,0,2
Steve Maviglio/ California Majority Report : Another Meg Whitman Pinocchio Moment - http://bit.ly/duCr5G,Meg Whitman,negative,7,9
Steve Maviglio/ California Majority Report : Another Meg Whitman Pinocchio Moment - http://bit.ly/duCr5G,Pinocchio,neutral,9,10
Luke Donald lays down marker for Scottish Open defence http://t.co/W6g2PRTN,Luke Donald,neutral,0,2
"On this day 1963 , In less than ten hours , The Beatles record ten new songs for their first album plus four other ... http://t.co/EBpJFT3w",The Beatles,positive,11,13
"In 1999 , the government did not come to Putin that Russia simply razvalilas and the fate of Russia would be very sad !",government,negative,4,5
"In 1999 , the government did not come to Putin that Russia simply razvalilas and the fate of Russia would be very sad !",Putin,neutral,9,10
"In 1999 , the government did not come to Putin that Russia simply razvalilas and the fate of Russia would be very sad !",Russia,negative,11,12
"In 1999 , the government did not come to Putin that Russia simply razvalilas and the fate of Russia would be very sad !",Russia,neutral,18,19
"mission acomplished , shatel was the last one",shatel,neutral,3,4
Download Tamil Song : Prash Mixstation Unit 2011 ( 38 Remixed Tamil Songs ) http://t.co/pHtwI81Y,Tamil,neutral,1,2
Download Tamil Song : Prash Mixstation Unit 2011 ( 38 Remixed Tamil Songs ) http://t.co/pHtwI81Y,Tamil,positive,11,12
"Someone at Apple lost their prototype iPhone , and Gizmodo.com has disassembled it examined it http://ow.ly/1AjMh #apple #iphone",Apple,neutral,2,3
"Bourne & O â?? Neil Treasure Oak Humidor : Many have a humidor , some also own a polished oak piece , but no one has a ... http://t.co/GWEBkRbG",Bourne & O â?? Neil Treasure,positive,0,6
Baseball Warehouse : Easy To Understand Information @ http://t.co/5ONMr3x9,Baseball Warehouse,positive,0,2
Connor Morgan MYP for Mid-Ulster speaks As Gaelige in the House of Commons . http://t.co/OBcTuzXH,Connor Morgan,neutral,0,2
Connor Morgan MYP for Mid-Ulster speaks As Gaelige in the House of Commons . http://t.co/OBcTuzXH,House of Commons,neutral,10,13
