,Unnamed: 0,Unnamed: 0.1,label,text,target,indo_tweet,indo_target
0,0,0,neutral,"Successfully Win the Bronze of the 2017 SEA Games, This is Luis Milla&#39;s comment https://bolalob.com/read/62644/sukses-rebut-perunggu-sea-games-2017-ini-komentar-luis-milla http://pic.twitter.com/taLxgpz9Po",SEA Games,"Sukses Rebut Perunggu SEA Games 2017, Ini Komentar Luis Milla https://bolalob.com/read/62644/sukses-rebut-perunggu-sea-games-2017-ini-komentar-luis-milla  http://pic.twitter.com/taLxgpz9Po",SEA Games
1,1,1,neutral,The previous President never joined the Sea Games!,Sea Games,Presiden Sebelumnya tidak pernah ikut Sea Games bang!,Sea Games
2,2,2,neutral,"Bring Home Bronze 2017 SEA Games, U-22 National Team Can Smile | Pikiran Rakyat http://www.pikiran-rakyat.com/olah-raga/2017/08/29/bawa-pulang-perunggu-sea-games-2017-timnas-u-22-bisa-tersenyum-408336 via @pikiran_rakyat",SEA Games,"Bawa Pulang Perunggu SEA Games 2017, Timnas U-22 Bisa Tersenyum | Pikiran Rakyat http://www.pikiran-rakyat.com/olah-raga/2017/08/29/bawa-pulang-perunggu-sea-games-2017-timnas-u-22-bisa-tersenyum-408336  via @pikiran_rakyat",SEA Games
3,3,3,neutral,"Just happened in the current president, ranked 5th sea games. What can the previous president ...? https://twitter.com/ruhutsitompul/status/902677166092984320",sea games,"Baru terjadi di presiden sekarang, peringkat 5 sea games . Presiden sebelumnya bisa apa...? https://twitter.com/ruhutsitompul/status/902677166092984320",sea games
4,4,4,neutral,"Finally Malaysia felt sadness at home, after losing 0-1 to Thailand in the SEA Games Final Football https://goo.gl/gJLt6h ...",SEA Games,"Akhirnya Malaysia Merasakan Kesedihan di Kandang, Usai Kalah 0-1 dari Thailand di Final Sepakbola SEA Games https://goo.gl/gJLt6h ..",SEA Games
5,5,5,neutral,I like the video @YouTube http://youtu.be/J996clPlQOM?a INDONESIA VS MYANMAR 3-1 - INDONESIA REBUT BRONZES SEA GAMES 2017 BALL MEDIA,SEA GAMES,Saya suka video @YouTube http://youtu.be/J996clPlQOM?a INDONESIA VS MYANMAR 3-1 - INDONESIA REBUT MEDALI PERUNGGU SEA GAMES 2017 SEPAK BOLA,SEA GAMES
6,6,6,neutral,Watch the SEA Games Beautiful Jump Streaming http://dlvr.it/PjW3Jr http://pic.twitter.com/1GEEghYt3v,SEA Games,Saksikan Live Streaming Lompat Indah SEA Games http://dlvr.it/PjW3Jr http://pic.twitter.com/1GEEghYt3v,SEA Games
7,7,7,neutral,President Jokowi&#39;s response to the Indonesian flag reversed at Sea Games 2017 http://berita.dreamers.id/article/65894/tanggapan-presiden-jokowi-soal-bendera-indonesia-terbalik-di-sea-games-2017 via @DreamersRadioID # DreamersXMubank,Sea Games,Tanggapan Presiden Jokowi Soal Bendera Indonesia Terbalik di Sea Games 2017 http://berita.dreamers.id/article/65894/tanggapan-presiden-jokowi-soal-bendera-indonesia-terbalik-di-sea-games-2017  via @DreamersRadioID #DreamersXMubank,Sea Games
8,8,8,neutral,"Only won 2 gold, the first time Indonesia failed to win the overall champion in SEA Games Badminton Sports http://dlvr.it/PjW2ht",SEA Games,"Hanya Raih 2 Emas, Pertama Kalinya Indonesia Gagal Juara Umum di Cabor Bulu Tangkis SEA Games http://dlvr.it/PjW2ht",SEA Games
9,9,9,positive,"You can go to closing sea games. Last night, I surrendered Gilee to sleep early because I wasn&#39;t disappointed I couldn&#39;t leave",sea games,Terharuuuu dapat pergi closing sea games . Semalam pasrah gilee tidur awal sebab taknak kecewa tak dapat pergi,sea games
10,10,10,neutral,Jonatan Christie Reveals the Key to Success at the 2017 SEA Games http://dlvr.it/PjW1TB,SEA Games,Jonatan Christie Ungkap Kunci Sukses di SEA Games 2017 http://dlvr.it/PjW1TB,SEA Games
11,11,11,neutral,"Conquer Myanmar 3-1, U-22 national team Bronze bronze SEA Games 2017 #SemanggiMagetan http://pic.twitter.com/totxoE0QOr",SEA Games,"Taklukkan Myanmar 3-1, Timnas U-22 Sabet Perunggu SEA Games 2017 #SemanggiMagetan http://pic.twitter.com/totxoE0QOr",SEA Games
12,12,12,neutral,@null Jonatan Christie Revealed the Key to Success at the 2017 SEA Games Jonatan Christie won m http://sport.viva.co.id/news/read/951566-jonatan-christie- Reveal-kunci-sukses-di-sea-games-2017 -news,SEA Games,@null Jonatan Christie Ungkap Kunci Sukses di SEA Games 2017 Jonatan Christie meraih m http://sport.viva.co.id/news/read/951566-jonatan-christie-ungkap-kunci-sukses-di-sea-games-2017-berita,SEA Games
13,13,13,neutral,Me: along. Alg: hmm Me: tonight I need a sea games cc: hmm #permissionobtained,sea games,Me : along. Alg : hmm Me : malam ni pi tgk cc sea games Alg : hmm #permissionobtained,sea games
14,14,14,neutral,"Pecundangi Malaysia, Thailand Champion Sea Games Soccer 2017 https://mainbola.co/2017/08/30/pecundangi-malaysia-thailand-juara-sepakbola-sea-games-2017/",Sea Games,"Pecundangi Malaysia, Thailand Juara Sepakbola Sea Games 2017 https://mainbola.co/2017/08/30/pecundangi-malaysia-thailand-juara-sepakbola-sea-games-2017/",Sea Games
15,15,15,neutral,"Win the Bronze Medal of 2017 SEA Games, This Comment Ryuji Utomo https://bolalob.com/read/62663/raih-medali-perunggu-sea-games-2017-ini-komentar-ryuji-utomo http://pic.twitter.com/XFCDBUIAWv",SEA Games,"Raih Medali Perunggu SEA Games 2017, Ini Komentar Ryuji Utomo https://bolalob.com/read/62663/raih-medali-perunggu-sea-games-2017-ini-komentar-ryuji-utomo  http://pic.twitter.com/XFCDBUIAWv",SEA Games
16,16,16,positive,"It needs to be appreciated, the Government cq Kemenpora has succeeded in COMBINING the Sea Games with PANCASILA, Sports also love with the number 5 ..",Sea Games,"Perlu di apresiasi sih , Pemerintah cq Kemenpora telah berhasil MENGGABUNGKAN Sea Games dgn PANCASILA, Olahraga pun cinta dengan angka 5..",Sea Games
17,17,17,neutral,INDONESIA VS MYANMAR 3-1 SEA GAMES 2017! INDONESIA VS MYANMAR! MYANMAR ... https://youtu.be/ZbquyRqJo4g via @YouTube,SEA GAMES,INDONESIA VS MYANMAR 3-1 SEA GAMES 2017 ! INDONESIA VS MYANMAR ! MYANMAR... https://youtu.be/ZbquyRqJo4g via @YouTube,SEA GAMES
18,18,18,neutral,"She slays SEA Games when she&#39;s 15 ?? And got bronze! Wow ... I&#39;m 23 pounds, not necessarily getting top 20 dik ... bro, weh !!",SEA Games,She slays SEA Games when she's 15?? And got bronze! Wow..aku umur 23 pon belum tentu dapat top 20 dik.. tahniah weh!!,SEA Games
19,19,19,neutral,"Malaysia&#39;s next sea games will host again in the next 20 years, so it means my age is 41 years old at that time.",sea games,The next sea games yg malaysia akan jadi tuan rumah lagi adalah pada 20 tahun akan dtg so it means my age is 41 tahun at that time.,sea games
20,20,20,neutral,Heh ... when the book ... is it normal not to think of playing the sea games bol,sea games,Heh..pala tok..malar jak fikir main bol sea games kmarik,sea games
21,21,21,neutral,"2017 SEA Games, Satria Tama Statistics Defeat Gianluigi Buffon https://www.duniabola99.org/sea-games-2017-statistik-satria-tama-kalahan-gianluigi-buffon/",SEA Games,"SEA Games 2017, Statistik Satria Tama Kalahkan Gianluigi Buffon https://www.duniabola99.org/sea-games-2017-statistik-satria-tama-kalahkan-gianluigi-buffon/",SEA Games
22,22,22,neutral,"#INDONESIAPAGIINI CONQUESTS MYANMAR 3-1, U-22 TIMNABETS SAVE BRONZES SEA GAMES 2017 #OZJMS http://pic.twitter.com/j7jgA1OWZK",SEA GAMES,"#INDONESIAPAGIINI TAKLUKKAN MYANMAR 3-1, TIMNAS U-22 SABET PERUNGGU SEA GAMES 2017 #OZJMS http://pic.twitter.com/j7jgA1OWZK",SEA GAMES
23,23,23,neutral,Full Time: SEA Games Finals (Soccer) MALAYSIA 0 1 THAILAND Muhehehehe lost in the final,SEA Games,Full Time : Final SEA Games (Sepakbola) MALAYSIA 0 1 THAILAND Muhehehehe malingsial kalah di final,SEA Games
24,24,24,neutral,I liked a @YouTube video http://youtu.be/MO7UltBdiMk?a Great !!! The PSHT fighter Puspa Arum Sari names the nation in the sea games,sea games,I liked a @YouTube video http://youtu.be/MO7UltBdiMk?a Hebat !!! Pesilat PSHT Puspa Arum Sari mengharumkan nama bangsa di ajang sea games,sea games
25,25,25,neutral,Indonesia records defeated Myanmar 3 1 at Sea Games Malaysia http://www.paralayangwonosobo.com/catatan-indonesia-kalahan-myanmar-3-1-di-sea-games-malaysia/ http://pic.twitter.com/VuMI1wiwb2,Sea Games,Catatan Indonesia kalahkan Myanmar 3 1 di Sea Games Malaysia http://www.paralayangwonosobo.com/catatan-indonesia-kalahkan-myanmar-3-1-di-sea-games-malaysia/  http://pic.twitter.com/VuMI1wiwb2,Sea Games
26,26,26,neutral,It was during this regime that Indonesia was helpless in the SEA Games event ... Position LIMA euiiii ...,SEA Games,Pada masa rezim inilah Indonesia tdk berdaya pada event SEA Games .... Posisi LIMA euiiii....,SEA Games
27,27,27,neutral,"At the SEA Games yesterday we were under Malaysia, Vietnam, Thailand and Singapore. In general, it can be a proxy for economic power.",SEA Games,"Di SEA Games kemarin kita berada di bawah Malaysia, Vietnam, Thailand, dan Singapura. Secara umum, bisa jadi proxy kekuatan ekonomi.",SEA Games
28,28,28,positive,Indonesia is not afraid of sea games in Malaysia 2017,sea games,Indonesia tak takut sea games di malaysia 2017,sea games
29,29,29,neutral,"Slaves like to eat curds, curd is eaten again and again, Oh my Malaysia don&#39;t be sad, our other Sea Games ... http://fb.me/zZ7NAoOL",Sea Games,"Budak-budak suka makan dadih, Dadih di makan lagi dan lagi, Oh Malaysiaku janganlah sedih, Sea Games lain kita... http://fb.me/zZ7NAoOL",Sea Games
30,30,30,neutral,There are a number of tackles that are packed and also careless mistake. Maybe the best match in this edition of the SEA games. The overall consistency.,SEA games,ADAM beberapa tackle yg kemas dan juga careless mistake.Mungkin match paling teruknya dalam SEA games edisi kali ini.Kesuluruhan konsisten.,SEA games
31,31,31,neutral,# Good MorningJogja | KOMPAS: Indonesian Sports Emergency. Menpora apologized for the failure of Ri at the 2017 SEA Games,SEA Games,#SelamatPagiJogja | KOMPAS : Darurat Olahraga Indonesia. Menpora meminta Maaf atas kegagal;an Ri di SEA Games 2017,SEA Games
32,32,32,neutral,"SEA Games Targets Not Fulfilled, Menpora Apologizes and Responsible http://fb.me/8IoCP16iu",SEA Games,"Target SEA Games Tak Terpenuhi, Menpora Minta Maaf dan Bertanggung Jawab http://fb.me/8IoCP16iu",SEA Games
33,33,33,neutral,"Who won the gold medal at the 2017 SEA Games until Tuesday, August 29? http://s.rplr.co/ePkEE9Y http://pic.twitter.com/VDLjlVEqIx",SEA Games,"Siapa saja yang berhasil meraih medali emas di SEA Games 2017 hingga Selasa, 29 Agustus? http://s.rplr.co/ePkEE9Y http://pic.twitter.com/VDLjlVEqIx",SEA Games
34,34,34,neutral,"Double Mixes Fail in the SEA Games, This Is Said Richard Mainy http://dlvr.it/PjVsgW http://pic.twitter.com/FDJfMFYiMP",SEA Games,"Ganda Campuran Gagal di SEA Games , Ini Kata Richard Mainaky http://dlvr.it/PjVsgW http://pic.twitter.com/FDJfMFYiMP",SEA Games
35,35,35,neutral,#TenjoDeuiLur: Those Who Are Still (Opportunities) Competing in the Next SEA Games! http://bobotoh.id/baca/mereka-yng-masih-berkesempatan-berlaga-di-sea-games-selanjut- #Persib,SEA Games,#TenjoDeuiLur : Mereka yang Masih (Berkesempatan) Berlaga di SEA Games Selanjutnya ! http://bobotoh.id/baca/mereka-yng-masih-berkesempatan-berlaga-di-sea-games-selanjutnya-  #Persib,SEA Games
36,36,36,neutral,"#SAPIPOST Target in 2017 SEA Games Not Reached, Menpora Apologize. The target for marriage is not reached, don&#39;t apologize, but ask for a matchmate #OZMATASAPI",SEA Games,"#SAPIPOST Target di SEA Games 2017 Tak Tercapai, Menpora Minta Maaf. Target nikah jg tak tercapai, jgn minta maaf tp minta jodoh #OZMATASAPI",SEA Games
37,37,37,neutral,Do you want a brother sprinter. Plis for comeback not when I play sea games,sea games,Gaduh ape ni abang sprinter. Plis buat comeback nk tgok awak main sea games,sea games
38,38,38,neutral,"Many Injured Victims at Sea Games 2017 Malaysia, Ada Apa: http://youtu.be/wJvKkqDijZI?a via @YouTube",Sea Games,"Banyak Korban Cedera di Sea Games 2017 Malaysia, Ada Apa: http://youtu.be/wJvKkqDijZI?a via @YouTube",Sea Games
39,39,39,positive,All countries are not afraid of sea games in Malaysia 2017,sea games,Semua negara tak takut sama sea games di malaysia 2017,sea games
40,40,40,neutral,"SEA GAMES 2017: Malaysia Champion, Indonesia Fails to Reach Target #fajar .net - News #Kewangan #Komoditi https://www.dukascopy.com/refpro/in.php?aHR0cHM6Ly93d3cuZHVrYXNjb3B5LmNvbS9meHNwaWRlci9tcy81MDQwNDg5NDI5MzU4OTc0ODA0Lz91dG1fc291cmNlPXR3aXR0ZXImdXRtX21lZGl1bT1zb2NpYWwmdXRtX2NhbXBhaWduPWZ4c3BpZGVyJTIwdHdpdHRlciUyMHBvc3RpbmcKc3BwLXR3LVNwaWRNUw==",SEA GAMES,"SEA GAMES 2017: Malaysia Juara, Indonesia Gagal Capai Target #fajar .co.id - Berita #Kewangan #Komoditi https://www.dukascopy.com/refpro/in.php?aHR0cHM6Ly93d3cuZHVrYXNjb3B5LmNvbS9meHNwaWRlci9tcy81MDQwNDg5NDI5MzU4OTc0ODA0Lz91dG1fc291cmNlPXR3aXR0ZXImdXRtX21lZGl1bT1zb2NpYWwmdXRtX2NhbXBhaWduPWZ4c3BpZGVyJTIwdHdpdHRlciUyMHBvc3RpbmcKc3BwLXR3LVNwaWRNUw==",SEA GAMES
41,41,41,positive,Indonesia is not afraid of Malaysia Sea Games 2017,sea games,Indonesia tak takut malaysia sea games 2017,sea games
42,42,42,neutral,"Duh, In the Achievement History of Indonesia&#39;s SEA Games Decreased in the Jokowi Era http://dlvr.it/PjVqCm http://pic.twitter.com/pd1H1svnys",SEA Games,"Duh, Dalam Sejarah Prestasi SEA Games Indonesia Terpuruk di Era Jokowi http://dlvr.it/PjVqCm http://pic.twitter.com/pd1H1svnys",SEA Games
43,43,43,neutral,"Ending with Bronze at the 2017 SEA Games, Luis Milla Thanking Supporters https://goo.gl/fb/gPzjKN",SEA Games,"Berakhir dengan Perunggu di SEA Games 2017, Luis Milla Ucapkan Terima Kasih kepada Suporter https://goo.gl/fb/gPzjKN",SEA Games
44,44,44,neutral,Thailand doesn&#39;t like sea games in Malaysia 2017,sea games,Thailand sama gak senang sea games di malaysia 2017,sea games
45,45,45,neutral,"Conquer Myanmar 3-1, U-22 national team Bronze bronze SEA Games 2017 http://bit.ly/2xvFltu #Refresh #MorningUpdate #GARUDA",SEA Games,"Taklukkan Myanmar 3-1, Timnas U-22 Sabet Perunggu SEA Games 2017 http://bit.ly/2xvFltu #Refresh #MorningUpdate #GARUDA",SEA Games
46,46,46,neutral,There is the one who sold the ticket closing ceremony sea games again,sea games,Ada ke yang nak jual ticket closing ceremony sea games lagi,sea games
47,47,47,neutral,"http://goo.gl/t8vXH0 Hamdalah, Riau Taekwondoin Donates Gold at 2017 SEA Games #news # exercising",SEA Games,"http://goo.gl/t8vXH0 Hamdalah, Taekwondoin Asal Riau Sumbang Emas di SEA Games 2017 #news #olahraga",SEA Games
48,48,48,neutral,JK Disappointed 2017 SEA Games Results http://wartakota.tribunnews.com/2017/08/30/jk-kecewa-hasil-sea-games-2017 via @wartakotalive,SEA Games,JK Kecewa Hasil SEA Games 2017 http://wartakota.tribunnews.com/2017/08/30/jk-kecewa-hasil-sea-games-2017  via @wartakotalive,SEA Games
49,49,49,neutral,"Concerning SEA Games Results, Menpora Apologizes http://wartakota.tribunnews.com/2017/08/30/hasil-sea-games-memprihatinkan-menpor-member-maaf via @wartakotalive",SEA Games,"Hasil SEA Games Memprihatinkan, Menpora Minta Maaf http://wartakota.tribunnews.com/2017/08/30/hasil-sea-games-memprihatinkan-menpora-minta-maaf  via @wartakotalive",SEA Games
50,50,50,negative,"Wake up, see the news of Malaysia losing to Thailand in the final of sea games. HAHAHA, how come it&#39;s delicious?",sea games,"Bangun tidur lihat berita malaysia kalah lawan thailand di final sepak bola sea games . HAHAHA, mang enak?",sea games
51,51,51,neutral,"okezonenews The results of the 2017 SEA Games are not yet on target, Menpora: &amp; 8206; We will evaluate! http://okz.me/CYsZF http://pic.twitter.com/BYioffbxLH",SEA Games,"okezonenews Hasil SEA Games 2017 Belum Sesuai Target, Menpora: &8206;Kita akan Evaluasi! http://okz.me/CYsZF http://pic.twitter.com/BYioffbxLH",SEA Games
52,52,52,neutral,Send photos / videos of your support to the Indonesian Team in the SEA Games arena! There are prizes awaiting! #GempitaSeaGames #IndonesiaJara http://pic.twitter.com/KSyNuPSHIq,SEA Games,Kirim foto/video dukunganmu untuk Tim Indonesia di arena SEA Games ! Ada hadiah menanti! #GempitaSeaGames #IndonesiaJuara http://pic.twitter.com/KSyNuPSHIq,SEA Games
53,53,53,neutral,INDONESIA VS MYANMAR 3-1 SEA GAMES 2017! INDONESIA VS MYANMAR! MYANMAR VS INDONESIA: http://youtu.be/ZbquyRqJo4g?a via @YouTube,SEA GAMES,INDONESIA VS MYANMAR 3-1 SEA GAMES 2017 ! INDONESIA VS MYANMAR ! MYANMAR VS INDONESIA: http://youtu.be/ZbquyRqJo4g?a via @YouTube,SEA GAMES
54,54,54,neutral,"Indonesian Athletes Collapsed at SEA Games Due to Previous Government, Jokowi Brigade: SBY Must Apologize http://ow.ly/erat50dJs3k",SEA Games,"Atlet Indonesia Terpuruk di SEA Games Akibat Pemerintah Sebelumnya, Brigade Jokowi: SBY Harus Minta Maaf http://ow.ly/erat50dJs3k",SEA Games
