text,target,label
"cc @ $T$ _rawabokor "" @imam_iry : ya ampun rigen , mentang "" udh terkenal skrg dia brani becanda sama malaikat , , :( """,fpi,-1
"#ensiklopedia ® πtak ada paksaan dalam agama , ® π qs . al-baqarah : 256 . tak perlu kau paksa orang untuk berbuat baik atau meninggalkan kemunkaran.sadarkan saja seseorang untuk berbuat baik atau meninggalkan kemunkaran . sulit ? memang ! itulah $T$ . https://t.co/l8P02a3vi0",jihad,1
selamat buat $T$ yg udah jadi juara aff cup 2012 . :D,singapura,1
salah satu golongan yang akan ke neraka ialah mereka ber $T$ bukan kerana allah tapi untuk perhatian semata-mata . moga kita dijauhkan .,jihad,-1
"terimakasih @rabbani $T$ , kostum saya saat acara di universitas islam antarbangsa , $T$ . rabbani pilihan saya sejak dulu .",malaysia,1
"@m_fu4d gue pernah nanya sama anggota $T$ , katanya "" tunggu tanggal mainnya , dia masih jadi orang nomer satu , , dia gampang ngilangin bukti """,kpk,-1
perang makin brutal . ya allah selamatkan saudaraku d gaza ... tolonglah para $T$ d jalan-mu ... ya allah hancurkan barisan tentara israel ...,mujahid,1
semoga allah mengampuni dosa serta mengurniakan kematian yang mulia bagimu wahai bapa $T$ moden . insha allah http://t.co/lO7Oy4RGx4,jihad,1
"$T$ mohon maaf atas kenyataan yang mengelirukan kuala lumpur - selepas mengadakan satu sidang akhbar yang menggemparkan dengan wakil transgender , nisha ayub pada minggu lepas , menteri di ... https://t.co/Ky5ZSKHlj3",mujahid,1
cherrybelle tuh identik sama anisa . cherrybelle tanpa anisa tuh kaya $T$ tanpa rusuh,fpi,0
rt @briankhrisna : @gepamungkas $T$ ? pic.twitter.com/csnzomadsk,isis,-1
"ibu gua org $T$ , bapak-jawa .. rt @ebil_gracker : @lalakarmela la lo asli pribumi ga ? rep rep pliss penting",filipina,0
"61. $T$ mereka gambarkan sebagai khilafah dan khilafah adalah $T$ . dengan sepak terjang $T$ yang kontroversial , bengis dan kejam , mereka berharap publik menyimpulkan bahwa itulah khilafah . #allahbersamahti #khilafahselamatkanindonesia #antikhilafahantiislam",isis,-1
"* pendaftaran kader $T$ dakwah 7 * ` ` ` "" seluruh ucapan , perbuatan dan perjuangan seorang ® π https://t.co/wpNoJXKL7e",mujahid,0
"rt @timurtengah1 abdrabuh mansur hadi , janji perangi $T$ http://t.co/1PfbO32T",al qaeda,-1
semoga yang $T$ 4 n0vember di jaga kesehatannya . selalu dilindungi oleh alloh . dan saya yakin pasti mereka ... https://t.co/iiIPQ7JmHI,berjihad,0
foto konfrensi pers tolak $T$ . http://t.co/rVWLy8ZN3n,isis,1
tidak ada $T$ yang lebih berat dari menjaga lisan . ( fudhail bin ' iyadh ),jihad,1
"$T$ ini bagus cara dia menyampaikan suatu hal . santai , tenang , jelas , tegas , dan tidak menyakiti . good .",pak tito,1
kan uda dibilang disumut ! ! ! klo org pinter uda ngerti . rw @479aldri dprd bkn $T$ ! ! rt,dpr,-1
abaikan tuntutan simpatisan $T$ yang minta indonesi berlakubkeras terhadap rezim militer myanmar . mosok manut wong goblog .,isis,-1
"$T$ mulai trdesak kehilangan kota yg sempat didudukinya , mereka mulai melakukan aksi individual , teror bom hingga penyerangan #aiman https://t.co/G2IV36vC49",isis,-1
